config_id,sweep_type,target_eigenvalue_radius,target_condition_V,actual_spectral_radius,actual_condition_V,N,L,T_test,seed,trivial_max_eigenvalue,trivial_max_operator_norm,contract_C1,contract_C2,contract_C5,contract_C3,contract_C4,contract_C6,diverged,growth_ratio,log_growth,memory_retention,log_retention,final_norm
NN01,non_normal,0.95,1.0,0.9442105782285699,1.0,16,2,200,1,0.9442105782285699,0.9442105782285699,24.63146477984769,1.0661782158674116,0.06408049363468567,0.9442105782285699,100000000.0,0.054504274391884655,False,1.3737633775995824e-12,-23.025850929940457,0.0,-23.025850929940457,1.084735124664932e-14
NN02,non_normal,0.95,1.0,0.939803419521292,1.0,16,2,200,2,0.9450739217243384,0.9450739217243384,14.750057145844076,1.055299844286855,0.05382493914145675,0.9450739217243384,100000000.0,0.045828139712280946,False,4.952734960089645e-13,-23.025850929940457,0.0,-23.025850929940457,4.282490710439203e-14
NN03,non_normal,0.95,1.0,0.9450739217243384,1.0,16,2,200,3,0.9492115321658273,0.9492115321658273,34.49159045577338,1.073381891924573,0.07081431078838278,0.9492115321658273,100000000.0,0.06044176503043297,False,5.135087336031789e-12,-23.025850929940457,0.0,-23.025850929940457,9.397980156567505e-12
NN04,non_normal,0.95,10.0,0.944210578228571,33.857470755497104,16,2,200,1,0.944210578228571,1.0274910815846394,1061.0998924079781,1.261621085788694,0.09857670333573422,0.944210578228571,100000000.0,0.048340062637715064,False,2.978412417573329e-12,-23.025850929940457,0.0,-23.025850929940457,3.86462199746376e-12
NN05,non_normal,0.95,10.0,0.9398034195212939,53.07231207381522,16,2,200,2,0.9450739217243374,1.0274910815846394,1656.144488183327,1.2909522711675878,0.14912197327048554,0.9450739217243374,100000000.0,0.049464288895685105,False,3.240922597160003e-09,-19.547407795466512,0.21893235427608396,-1.5189924814643967,2.9976342226967406e-09
NN06,non_normal,0.95,10.0,0.9450739217243374,15.863683560304532,16,2,200,3,0.9492115321658279,1.0433793899490629,2512.987150617007,1.2994758983407868,0.13820793079828542,0.9492115321658279,100000000.0,0.047646845984688824,False,2.394191918472776e-10,-22.152805159571393,0.5190551224292366,-0.6557451925364854,1.8661083347208717e-10
NN07,non_normal,0.95,100.0,0.9442105782285705,98.70134375720843,16,2,200,1,0.9442105782285705,1.2370244369538406,10656.081416815197,1.7720924069379356,0.10858035221460378,0.961045569406415,100000000.0,0.17478997531902152,False,1.28462676271299e-11,-23.025850929940457,0.0,-23.025850929940457,3.053817372999995e-11
NN08,non_normal,0.95,100.0,0.9398034195212902,146.90108140544098,16,2,200,2,0.9450739217243367,1.2787742062887533,110193.93661901225,2.2429622028969507,0.09217055483895578,0.9642394071685746,100000000.0,0.1628623562813598,False,8.371864098112139e-11,-23.025850929940457,0.0,-23.025850929940457,2.5820526555143603e-11
NN09,non_normal,0.95,100.0,0.9450739217243367,131.46746829232333,16,2,200,3,0.9492115321658322,1.6900603437863149,324085.07567535306,3.4732414958885394,0.07919418181337456,0.9703916142102049,100000000.0,0.2582491980357078,False,2.499087448304302e-10,-22.109925285380847,0.0,-23.025850929940457,9.533517771363923e-11
NN10,non_normal,0.95,500.0,0.9442105782285776,315.42714248541375,16,2,200,1,0.9442105782285776,1.6145646974976924,203069.3131568793,2.8314427958019466,0.1129763022972809,0.9610455694064147,100000000.0,0.25437303359576857,False,7.051303224560001e-11,-23.025850929940457,0.21932315960474028,-1.5172090221815562,1.3558609014904094e-10
NN11,non_normal,0.95,500.0,0.9398034195212797,320.64410483115677,16,2,200,2,0.945073921724344,1.7467187959069739,1394017.583952462,4.265297808981131,0.057134024843259516,0.9642394071685758,100000000.0,0.30158011103263904,False,1.8016197990507035e-11,-23.025850929940457,0.0,-23.025850929940457,3.9074201683273167e-11
NN12,non_normal,0.95,500.0,0.945073921724344,274.73130769603273,16,2,200,3,0.9492115321657689,5.413418253790967,13442509.86025143,39.689846300943714,0.772348571842346,1.1273916722255568,100000000.0,0.9166654464202617,True,1000000.0,13.815510557964274,0.2437386306986596,-1.411658813479563,1.0022877173963348e+37
NN13,non_normal,0.95,1000.0,0.9442105782285802,570.8870369036,16,2,200,1,0.9442105782285802,2.085900053664429,287217.67497092276,5.327552092581438,0.2660816275522301,1.038352601921435,100000000.0,0.29839193800878494,False,0.0004906046825720587,-7.619871881603171,0.18995436481886235,-1.6609714208346091,0.00018991286811999086
NN14,non_normal,0.95,1000.0,0.9398034195213004,657.577705215027,16,2,200,2,0.9450739217243419,4.7308877588903515,24413402.575338177,28.119951178227666,0.7412184445790351,1.1205546925670373,100000000.0,1.1198981141518227,True,1000000.0,13.815510557964274,0.2863484849407556,-1.2505457310912929,1.933194586995236e+54
NN15,non_normal,0.95,1000.0,0.9450739217243419,714.2557783622264,16,2,200,3,0.9492115321657689,5.413418253790967,100000000.0,64.91678312699007,0.06906139535871106,1.1273916722255568,100000000.0,1.1109647262096647,False,2.3726120409753504e-08,-17.556689268707586,0.18674964470308636,-1.6779863574980007,5.8134560244789605e-09
NN16,non_normal,0.99,1.0,0.9839668131013518,1.0,16,2,200,1,0.9839668131013518,0.9839668131013518,24.631464779847654,1.0661782158674113,0.06408049363468558,0.9839668131013518,100000000.0,0.05919073610136949,False,2.0070013197062447e-05,-10.816283737604552,1.0,0.0,1.584745133138072e-07
NN17,non_normal,0.99,1.0,0.9793740898169253,1.0,16,2,200,2,0.9848665079022052,0.9848665079022052,14.750057145844096,1.0552998442868549,0.053824939141456696,0.9848665079022052,100000000.0,0.04976859804100442,False,7.235704316433182e-06,-11.836482854113953,1.0,0.0,6.256510144053605e-07
NN18,non_normal,0.99,1.0,0.9848665079022052,1.0,16,2,200,3,0.989178333520178,0.989178333520178,34.491590455773334,1.073381891924573,0.0708143107883828,0.989178333520178,100000000.0,0.0656387522507782,False,7.5021122474752e-05,-9.497740851082398,1.0,0.0,0.00013729990829833882
NN19,non_normal,0.99,10.0,0.9839668131013537,33.85747075552742,16,2,200,1,0.9839668131013537,1.0707538639671508,1061.0998924080338,1.2616210857886938,0.09857670333573439,0.9839668131013537,100000000.0,0.05249650458861366,False,4.3513153357928856e-05,-10.042447289531717,0.1709881279958432,-1.7661611518145313,5.646024326713471e-05
NN20,non_normal,0.99,10.0,0.9793740898169252,53.07231207400093,16,2,200,2,0.9848665079022039,1.0707538639671508,1656.144488183374,1.2909522711675872,0.1491219732704853,0.9848665079022039,100000000.0,0.05371739561956934,False,0.0473482991003313,-3.0502243818467587,0.2189323542760807,-1.5189924814644116,0.04379397455959602
NN21,non_normal,0.99,10.0,0.9848665079022039,15.863683560302487,16,2,200,3,0.9891783335201786,1.0873111537363918,2512.9871506169197,1.2994758983407866,0.13820793079828567,0.9891783335201786,100000000.0,0.051743682825035164,False,0.003497797669058072,-5.655621745951695,0.5190551224291973,-0.6557451925365612,0.0027262932988097724
NN22,non_normal,0.99,100.0,0.9839668131013555,98.70134375720843,16,2,200,1,0.9839668131013555,1.2891096764045264,10656.081416817015,1.7720924069379345,0.10858035221460047,1.0015106460130012,100000000.0,0.1898190080999147,False,0.0001876777071026245,-8.580784390191365,0.2673875415071284,-1.3190562066221059,0.0004461478299459114
NN23,non_normal,0.99,100.0,0.9793740898169243,146.9010814049375,16,2,200,2,0.984866507902209,1.332617330764071,110193.93661884684,2.242962202896948,0.09217055483896198,1.0048389611546222,100000000.0,0.1768658120679898,False,0.0012230885294586792,-6.7063760377679955,0.06958101754565872,-2.665263485254052,0.00037722530471191485
NN24,non_normal,0.99,100.0,0.984866507902209,131.46746829227882,16,2,200,3,0.9891783335201911,1.761220779314161,324085.0756754106,3.4732414958885403,0.07919418181338088,1.0112502084927408,100000000.0,0.2804543368363428,False,0.0036510449241798798,-5.6127418717609805,0.12697136113804391,-2.0637937208031842,0.0013928004677196365
NN25,non_normal,0.99,500.0,0.9839668131013498,315.42714248484253,16,2,200,1,0.9839668131013498,1.6825463689712763,203069.31315715128,2.8314427958019386,0.11297630229727018,1.0015106460130014,100000000.0,0.2762448866783511,False,0.0010301610239496814,-6.878040155027739,0.21932315960473925,-1.5172090221815608,0.001980846674906374
