config_id,sweep_type,ssm_family,target_eigenvalue_radius,target_condition_V,actual_spectral_radius,actual_condition_V,N,L,T_test,seed,trivial_max_eigenvalue,trivial_max_operator_norm,contract_C1,contract_C2,contract_C5,contract_C3,contract_C4,contract_C6,diverged,growth_ratio,log_growth,memory_retention,log_retention,final_norm
NN55,non_normal,hyena_like,0.995,1.0,0.9949999999999997,1.0000000000001197,16,2,200,5,0.9949999999999997,0.9949999999999992,100000000.0,2547206.0001333817,,0.9949999999999997,100000000.0,0.0,False,0.017439696863205255,-4.049006242349313,0.25,-1.3862943611198906,0.03366451073149224
NN60,non_normal,hyena_like,0.995,10.0,0.9949999999999986,13.42834763990376,16,2,200,5,0.9950000000000001,0.9950219273898124,100000000.0,6851831.379756742,,0.9950000000000001,100000000.0,0.0010648183797149907,False,0.04089939503499545,-3.1966400073631784,0.2508282057553579,-1.3829870134074906,0.03377733426111097
NN65,non_normal,hyena_like,0.995,100.0,0.9950000000000002,7.634867553029115,16,2,200,5,0.995000000000001,0.9971854610639967,100000000.0,186006.37390135237,,0.995000000000001,100000000.0,0.009847167195150042,False,0.05311745375000398,-2.935249708885944,0.25911874689197634,-1.35046884014505,0.04368496261626764
NN70,non_normal,hyena_like,0.995,500.0,0.9950000000000021,15.79163145129209,16,2,200,5,0.9950000000000021,1.05012278372131,100000000.0,2349.6587191120166,,0.26489247268681254,100000000.0,0.0319910259217098,False,6.495712483115709,1.8711423412757386,0.31362187759520016,-1.1595672301993947,4.930673136633685
NN75,non_normal,hyena_like,0.995,1000.0,0.9950000000000025,29.545874902111105,16,2,200,5,0.9950000000000025,1.223768376329802,100000000.0,8109.942629604283,,0.6646211276299241,100000000.0,0.05255276540074133,True,6955.899663910488,8.847345450975444,0.41376884845940837,-0.8824477981395681,4345.849724889303
NN80,non_normal,hyena_like,1.0,1.0,1.0000000000000013,8.662716541537291,16,2,200,5,1.0000000000000013,1.0000000000000018,100000000.0,inf,,1.0000000000000013,100000000.0,0.0,False,0.12951099306266847,-2.043989512930556,0.25,-1.3862943611198906,0.25000000000017786
NN85,non_normal,hyena_like,1.0,10.0,1.0000000000000013,16.826495375650115,16,2,200,5,1.000000000000002,1.0000216347072721,100000000.0,10856108.572046997,,1.000000000000002,100000000.0,0.0010608792615498398,False,0.3037107588964836,-1.191679481491134,0.2508188331268089,-1.3830243808304936,0.25082467647443607
NN90,non_normal,hyena_like,1.0,100.0,0.9999999999999984,10.424767667479742,16,2,200,5,1.0000000000000004,1.0021564134748802,100000000.0,95053.67819748339,,1.0000000000000004,100000000.0,0.0098149652918597,False,0.3926350474131825,-0.934874731095625,0.2590096826457178,-1.35088983324889,0.32294270521734647
NN95,non_normal,hyena_like,1.0,500.0,1.0,16.555163073079385,16,2,200,5,1.0,1.0543806211822915,100000000.0,2248.337807677119,,0.26586680949931496,100000000.0,0.03198197414120465,True,44.921527197659714,3.804917127459275,0.31276826094918697,-1.1622927430129115,34.15253002780156
NN100,non_normal,hyena_like,1.0,1000.0,0.999999999999998,29.95991123531475,16,2,200,5,0.999999999999998,1.2256083588744167,100000000.0,8247.299980000607,,0.6677742108191101,100000000.0,0.05241323378417715,True,48052.92475661286,10.780058281570195,0.411618360275745,-0.8876586689331804,30155.659621687755
NN105,non_normal,hyena_like,1.005,1.0,1.0049999999999994,1.0000000000001465,16,2,200,5,1.0049999999999994,1.0049999999999983,100000000.0,2572805.9998259484,,1.0049999999999994,100000000.0,0.0,False,0.952206926047445,-0.04897290851634588,0.24999999999999997,-1.3862943611198908,1.838081276983504
NN110,non_normal,hyena_like,1.005,10.0,1.0049999999999986,3.7543921597820775,16,2,200,5,1.0050000000000012,1.005021347058175,100000000.0,1742007.3580388054,,1.0050000000000012,100000000.0,0.0010569566961065192,False,2.23285740998143,0.8032821150114626,0.2508096034023402,-1.3830611798785446,1.8440497392620077
NN115,non_normal,hyena_like,1.005,100.0,1.0049999999999972,19.09566864043193,16,2,200,5,1.0050000000000026,1.007127862406985,100000000.0,63318.188358164894,,1.0050000000000026,100000000.0,0.00978284178824976,False,2.8736961845421187,1.0555990703577938,0.25890238611888305,-1.3513041758944502,2.363839517241546
NN120,non_normal,hyena_like,1.005,500.0,1.0050000000000026,17.530757028967503,16,2,200,5,1.0050000000000026,1.0586515437785606,100000000.0,2164.9167872579433,,0.26683935274249576,100000000.0,0.03197148014266642,True,307.8561390007437,5.729632592690771,0.31192954423507135,-1.1649779364331625,234.41772974186702
NN125,non_normal,hyena_like,1.005,1000.0,1.0050000000000014,30.20093108172142,16,2,200,5,1.0050000000000021,1.2275093610932502,100000000.0,8433.952095202818,,0.6709273299933018,100000000.0,0.05227461604552381,True,328429.3151010614,12.702076919022993,0.4094997688421999,-0.8928189401770846,207008.37628238785
